artist,title,genre,url,image,score,sp_artist,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
TOPS,I Feel Alive,pop,https://tops.bandcamp.com/album/i-feel-alive,https://f4.bcbits.com/img/a2622284910_2.jpg,60.083,TOPS,59,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024748163fe5bc80b8b317d939,0aFqZJGOa5R2wETNRQPW8m,2SdK1QDmZIP2hk94rSaLl9
Louis-Jean Cormier,Quand la nuit tombe,folk,https://louis-jeancormier.bandcamp.com/album/quand-la-nuit-tombe,https://f4.bcbits.com/img/a2551329614_2.jpg,46.75,Louis-Jean Cormier,49,2020-03-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b8c213cc549e7960c821f9d4,0etMcqNyXYSgrb7MTgCn6c,6ZsvBr9pLJY16NqVRKO88G
NOBRO,Sick Hustle,rock,https://nobro.bandcamp.com/album/sick-hustle,https://f4.bcbits.com/img/a2402369030_2.jpg,44.917,NOBRO,31,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0254221c14cb339a36c91e5750,0SoBXo7nuRAT4kuTX9fdeF,5Tomvwat8AxMGd2ewkDNPs
MOOCH,HOUNDS,rock,https://moochmusicofficial.bandcamp.com/album/hounds,https://f4.bcbits.com/img/a3862288379_2.jpg,44.667,Mooch,29,2020-04-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02de7cc4a9960e33251c32070e,2oZuIfepk1a7nnFYy6nK2B,0g79hiNJF5e1xQHUGQRQsd
MAYBEL,Gathering,folk,https://maybel.bandcamp.com/album/gathering,https://f4.bcbits.com/img/a2186233109_2.jpg,43.5,Maybel,33,2020-04-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024f0442e6c90c5be95d961521,6GwSwCyfavfapVa7aYZPyi,4vyc9XRUivKWefuHRepSQh
Bloodshot Bill,Get Loose Or Get Lost,rock,https://bloodshotbill.bandcamp.com/album/get-loose-or-get-lost,https://f4.bcbits.com/img/a1011801247_2.jpg,42.0,Bloodshot Bill,31,2020-04-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024fb90f784bbfa63b962436d9,5em4HZdKQEA0ofKxszspZh,4hXAGYc0vplYDIfDfD7tnN
SOMMM,SOMMM,pop,https://sommmtl.bandcamp.com/album/sommm,https://f4.bcbits.com/img/a661639977_2.jpg,38.833,SOMMM,19,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0295b241040e9baf0b1b21ca26,6UjeRzt9IrRyKjTQ5Yzm5T,6aBv406Ngmj6qcIDyKgnj7
Mike O'Brien,Mike O'Brien,folk,https://mikeobrien.bandcamp.com/album/mike-obrien,https://f4.bcbits.com/img/a2730148145_2.jpg,35.167,Mike O'Brien,18,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e188e6d592fd58bc3e98173d,2l6Ynkln0mfVkTriwP8dSI,0bSjew0YQ3eCgX82FfQmff
Rouge Pompier,Neve Campbell,rock,https://rougepompier.bandcamp.com/album/neve-campbell,https://f4.bcbits.com/img/a3190758101_2.jpg,32.5,Rouge Pompier,30,2020-03-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025368e3c8b7d6b31ab92b5c29,2LJ8o9mpNjK44SH6QADf9a,6juqd2DiJxLYeldyOvjzql
Hexsystem,Solutions,electronic,https://hexsystem.bandcamp.com/album/solutions,https://f4.bcbits.com/img/a41991569_2.jpg,30.0,Hexsystem,30,2020-03-14T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02482fdfc782569f6c79535abf,2EGQrhr4o23mpf3BOujLFk,0EtKmeVXhCvayJTciKQUNh
Emily Rockarts,Little Flower,pop,https://emilyrockarts.bandcamp.com/album/little-flower,https://f4.bcbits.com/img/a4005047564_2.jpg,29.5,Emily Rockarts,16,2020-04-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020b2e5c49308be6eeeb00fb84,3ZabtRsIrf09srKAX4MtOe,6r0KFCnFwQn9Mzplk18d9B
Game Genie Sokolov,Trans // Mission,electronic,https://ggsokolov.bandcamp.com/album/trans-mission,https://f4.bcbits.com/img/a1604016369_2.jpg,29.083,Game Genie Sokolov,6,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02234b9bbc65cb7196dfc06fc0,6WKNhGcQzLPr9Mae6GU7sn,5YbDytRUxn9lrou3NHfGj1
Solarium,Solarium,jazz,https://solarium.bandcamp.com/album/solarium,https://f4.bcbits.com/img/a1028218923_2.jpg,25.417,Solarium,5,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02dfb7a1616a86358aba9506e7,6ywthytUpkGCz15qHNAuJ4,3AsttUkSu2n3vbi2SqcFqO
Fantômes,Les animaux sauvages,folk,https://fantomesmusique.bandcamp.com/album/les-animaux-sauvages,https://f4.bcbits.com/img/a463480689_2.jpg,25.333,Fantômes,1,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f2c56eb7d58a6016637f5029,4mq0WsHWG9BqQwmCCw0mXI,1yoodUp4IkLPxvFtuVVwQH
Awwful,Affection,electronic,https://awwful.bandcamp.com/album/affection,https://f4.bcbits.com/img/a2668479012_2.jpg,24.583,Awwful,0,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0203fdaabc549286cd7462904f,5NyTznjoi3R7pvCi8rVecE,1kKleas8CTNaHlE6w3TLb5
Dirty Cheetah,Never Too Late,punk,https://dirtycheetah.bandcamp.com/album/never-too-late,https://f4.bcbits.com/img/a2424073200_2.jpg,23.75,Dirty Cheetah,0,2020-04-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02de039951a26c99519b2cd8f3,1aJK0nNjP3i1V9xLp22jVy,4P2QXVfjICeXrfYejyGxn4
Les Deuxluxes,Lighter Fluid,rock,https://deuxluxes.bandcamp.com/album/lighter-fluid,https://f4.bcbits.com/img/a3861368093_2.jpg,21.5,Les Deuxluxes,27,2020-02-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021b8ab77f02a3e175983c8a0b,5qHZZ38krHocEYUbDpAWtQ,6k5PugZm3EOJkU08XUPzTg
oliloops,"Beats, Vol. 02",hip-hop/rap,https://oliloops.bandcamp.com/album/beats-vol-02,https://f4.bcbits.com/img/a2714480472_2.jpg,21.25,Oliloops,0,2020-04-16T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c9e6e8b3f7342c1e4183f1b8,4g3dVMhRBbGC1YtJYOab2z,4QKhKJkZZSqbTKkr1xScMN
Olivier Bélisle,Broderie,folk,https://olivierbelisle.bandcamp.com/album/broderie,https://f4.bcbits.com/img/a2037983003_2.jpg,19.833,Olivier Bélisle,17,2020-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029b0e8c9001db79ea1c599930,0qF05npfcAreX5hsnmrlLU,5r7VNBLnEVQaEvhaJLkMpR
ESPIRATOMA,KALI PUJA [El Kali Infinito Danza en el Interior],electronic,https://voodoo-hoodoo.bandcamp.com/album/kali-puja-el-kali-infinito-danza-en-el-interior,https://f4.bcbits.com/img/a382661491_2.jpg,16.25,Espiratoma,0,2020-04-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0231e34cc5d08176c62d6d52e0,3A6tR4DAfOorH55Vz5rBP5,3NGlM7s6EWm99SYn437oHe
